scrape_date,date,time_departure,time_arrival,duration,escape,economy,economy_plus,business,business_plus
2016-08-25,2016-09-18,08:53,11:40,167,33,82,106,99,185
2016-08-25,2016-09-18,12:45,16:01,196,60,82,106,119,185
2016-08-25,2016-09-18,18:15,21:09,174,33,82,106,99,185
2016-08-25,2016-09-19,06:05,09:09,184,33,85,106,109,185
2016-08-25,2016-09-19,08:43,11:40,177,33,85,106,Sold out,185
2016-08-25,2016-09-19,12:45,16:01,196,64,85,106,119,185
2016-08-25,2016-09-19,16:10,19:17,187,33,85,106,109,185
2016-08-25,2016-09-19,18:15,21:09,174,33,85,106,109,185
2016-08-25,2016-09-20,06:05,09:09,184,33,85,106,109,185
2016-08-25,2016-09-20,08:43,11:40,177,33,85,106,130,185
2016-08-25,2016-09-20,12:45,16:01,196,64,85,106,109,185
2016-08-25,2016-09-20,16:10,19:17,187,33,85,106,109,185
2016-08-25,2016-09-20,18:15,21:09,174,33,85,106,109,185
2016-08-25,2016-09-21,06:05,09:09,184,33,82,106,99,185
2016-08-25,2016-09-21,08:43,11:40,177,33,82,106,130,185
2016-08-25,2016-09-21,12:45,16:01,196,60,82,106,130,185
2016-08-25,2016-09-21,16:10,19:17,187,60,82,106,99,185
2016-08-25,2016-09-21,18:15,21:09,174,33,82,106,130,185
2016-08-25,2016-09-22,06:05,09:09,184,33,85,106,109,185
2016-08-25,2016-09-22,08:43,11:40,177,33,85,106,130,185
2016-08-25,2016-09-22,12:45,16:01,196,77,85,106,119,185
2016-08-25,2016-09-22,16:10,19:17,187,64,85,106,130,185
2016-08-25,2016-09-22,18:15,21:09,174,33,85,106,109,185
2016-08-25,2016-09-23,06:05,09:09,184,33,82,106,99,185
2016-08-25,2016-09-23,08:43,11:40,177,47,82,106,Sold out,185
2016-08-25,2016-09-23,12:45,16:01,196,73,82,106,157,185
2016-08-25,2016-09-23,16:10,19:17,187,60,82,106,119,185
2016-08-25,2016-09-23,18:15,21:09,174,47,82,106,119,185
2016-08-25,2016-09-24,08:53,11:40,167,47,82,106,99,185
2016-08-25,2016-09-24,12:45,16:01,196,60,82,106,Sold out,185
2016-08-25,2016-09-24,16:10,19:17,187,33,82,106,99,185
2016-08-26,2016-08-26,16:10,19:17,187,Sold out,93,106,Sold out,185
2016-08-26,2016-08-26,18:15,21:09,174,Sold out,82,106,Sold out,185
2016-08-26,2016-08-27,08:53,11:40,167,73,82,106,119,185
2016-08-26,2016-08-27,12:45,16:01,196,Sold out,82,106,119,185
2016-08-26,2016-08-27,16:10,19:17,187,Sold out,82,106,130,185
2016-08-26,2016-08-28,08:53,11:40,167,Sold out,82,106,130,185
2016-08-26,2016-08-28,12:45,16:01,196,Sold out,93,106,130,185
2016-08-26,2016-08-28,18:15,21:09,174,Sold out,82,106,130,185
